127.0.0.1 - - [03/Jun/2023:13:11:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:11:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:11:12 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:11:13 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:11:18 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:11:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:11:19 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2161
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:11:20 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:11:31 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:11:31 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:11:34 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:13:11 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:13:13 +0900] "GET /BBS/update.jsp?bbsID=1 HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:13:25 +0900] "POST /BBS/updateAction.jsp?bbsID=1 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:13:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:13:27 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:40:22 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:40:24 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:40:25 +0900] "GET /BBS/update.jsp?bbsID=1 HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:40:28 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:40:28 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:40:31 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:40:35 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:40:35 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:40:36 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:40:37 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:45:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:45:05 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:45:17 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:45:17 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:45:19 +0900] "GET /BBS/view.jsp?bbsID=2 HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:45:20 +0900] "GET /BBS/update.jsp?bbsID=2 HTTP/1.1" 200 2247
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:45:25 +0900] "POST /BBS/updateAction.jsp?bbsID=2 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:45:25 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2489
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:45:26 +0900] "GET /BBS/view.jsp?bbsID=2 HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [03/Jun/2023:13:45:28 +0900] "GET /BBS/update.jsp?bbsID=2 HTTP/1.1" 200 2260
